bigram,count,probability
фч,1,0.000001
яа,1,0.000001
йщ,1,0.000001
кх,1,0.000001
мх,1,0.000001
мж,1,0.000001
дщ,1,0.000001
пф,1,0.000001
хп,1,0.000001
мф,1,0.000001
хд,1,0.000001
гз,1,0.000001
пщ,1,0.000001
хч,1,0.000001
ыщ,1,0.000001
жр,1,0.000001
цш,1,0.000001
юа,1,0.000001
лм,1,0.000001
нм,1,0.000001
уу,1,0.000001
еэ,1,0.000001
эи,1,0.000001
